Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;15-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;619000;641000;650000;647000;683000;721000;691000;643000;642000;728000;733000;694000;772000;827000;813000;824000;869000;904000;979000;1072000;1225000;1102000;1070500;1082000;;
Afghanistan;AFG;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9000;21000;45000;52000;45000;51000;67000;91000;107000;194000;210000;121000;195000;294000;366000;425000;481000;528000;650000;595000;592000;397000;261000;218000;;
Albania;ALB;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1062000;1247000;1711000;2191000;2469000;3156000;2857000;3341000;3784000;4070000;4643000;5340000;;
Andorra;AND;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2347000;2949000;3516000;3387000;3138000;2791000;2418000;2227000;2189000;2059000;1830000;1808000;2242000;2238000;2328000;2363000;2663000;2819000;3003000;3042000;;
Arab World;ARB;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22858871;23733141;25708996;28265206;32442075;36338661;37120451;41532534;43474946;51734736;55008979;60973292;69425548;79523573;78927995;90023607;76660005;84844588;85114141;90876674;88169233;87721747;94181175;101463695;;
United Arab Emirates;ARE;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2315000;2572000;2476000;2991000;3393000;3907000;4134000;5445000;5871000;6195000;7126000;;;;;;;;;16232000;17472000;18967000;20394000;21286000;;
Argentina;ARG;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2289000;2614000;2764000;3012000;2898000;2909000;2620000;2820000;2995000;3457000;3823000;4173000;4562000;4700000;4308000;6800000;6703000;6497000;6510000;7165000;6816000;6668000;6711000;6942000;;
Armenia;ARM;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12000;13000;23000;32000;41000;45000;123000;162000;206000;263000;319000;382000;511000;558000;575000;684000;758000;963000;1084000;1204000;1192000;1260000;1495000;1652000;;
American Samoa;ASM;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34000;35000;26000;36000;41000;44000;36000;;;;24500;25300;24100;24300;23500;23100;22600;22600;20800;21600;20300;20100;20000;20200;;
Antigua and Barbuda;ATG;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220000;228000;240000;234000;232000;207000;215000;218000;239000;246000;245000;254000;262000;266000;234000;230000;241000;247000;243000;249000;250000;265000;247000;269000;;
Australia;AUS;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3726000;4165000;4318000;4167000;4459000;4931000;4856000;4841000;4746000;5215000;5499000;5532000;5644000;5586000;5490000;5790000;5771000;6032000;6482000;6922000;7449000;8269000;8815000;9246000;;
Austria;AUT;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17173000;17090000;16647000;17352000;17467000;17982000;18180000;18611000;19078000;19374000;19952000;20269000;20773000;21935000;21355000;22004000;23012000;24151000;24813000;25291000;26728000;28121000;29460000;30816000;;
Azerbaijan;AZE;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576000;768000;989000;693000;682000;732000;1043000;1005000;1280000;1562000;1986000;2130000;2160000;1922000;2044000;2454000;2633000;;
Burundi;BDI;International tourism, number of arrivals;ST.INT.ARVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34000;27000;11000;15000;26000;29000;36000;74000;74000;133000;148000;214000;192000;202000;212000;142000;144000;147000;234000;235000;131000;187000;299000;;;
